record_id,print_edition,size,frame,sold,distributor,action,decision,reason
recoXOEZ1XtePMfff,Bembridge - 64,Large,Mounted,checked,La Wode,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recHRbBYOOraaVdXc,Bembridge - 64,Small,Mounted,checked,La Wode,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recvJw4SLRL5MgDaM,Bembridge - 73,Small,Framed,checked,La Wode,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recBCmPhdMM4yHPrF,Bembridge - 73,Large,Mounted,checked,Tapnell Farm,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recRQleXvS929uXTR,Brambles - 79,Large,Framed,checked,Bramble and Berry,KEEP,KEEP_SOLD,Only one marked as sold
recCB4WsdwkH2cEfL,Brambles - 79,Small,Mounted,,Direct,SKIP,KEEP_SOLD,Only one marked as sold
reclDSeRumzJlcvUx,COWES RACE DAY - 44,Large,Framed,checked,KENDALLS,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recIWu7ER6inJbt5D,COWES RACE DAY - 44,Large,Mounted,checked,KENDALLS,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
rec0memsW3dbVyTFH,COWES RACE DAY - 52,Small,Mounted,checked,Seaview Gallery,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recRBfjVAr1Vo6fHV,COWES RACE DAY - 52,Small,Framed,checked,KENDALLS,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
rec0Y0yWIbRD3drN3,Classics - 0,Small,Mounted,checked,Yarmouth Gallery,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recQis1PFvcVuUH4Z,Classics - 0,Small,Mounted,checked,Seaview Gallery,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recA2x9qA6rlIyrlQ,Classics - 61,Large,Framed,checked,Bramble and Berry,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recQtivsJy1wQmdBt,Classics - 61,Large,Mounted,checked,KENDALLS,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recHRfoZOv1ChNeTr,Contessa32 - 25,Large,Framed,checked,Perera,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recfEnY4a5zPvvrvy,Contessa32 - 25,Large,Framed,checked,Perera,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recz2DIlie6zrxJCV,Contessa32 - 35,Large,Framed,checked,Direct,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recrcuSpLkrlwjnW4,Contessa32 - 35,Large,Framed,checked,Direct,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recAg3n7dv4YpIOXt,Contessa32 - 79,Small,Framed,,Direct,KEEP,KEEP_FIRST,"Different sizes (Large, Small), keeping first entry"
recZvmTP7GrArTbH7,Contessa32 - 79,Large,Framed,,Perera,SKIP,KEEP_FIRST,"Different sizes (Large, Small), keeping first entry"
recgFyheK6JBbTv1O,Ducie - 50,Large,Framed,checked,KENDALLS,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recZAJd3SQKWBdHej,Ducie - 50,Large,Framed,checked,KENDALLS,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recxYPucsdK1NEcmR,Ducie - 159,Large,Framed,checked,Bramble and Berry,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
rec81INJMBioXCJUI,Ducie - 159,Large,Mounted,checked,Direct,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recpJesDVJx2PaXNa,Etchells - 1,Large,Mounted,checked,Green Buoy,KEEP,KEEP_LARGE_SOLD,"Different sizes (Unknown, Large), keeping Large sold"
recuI5r26MoHMHGOh,Etchells - 1,Unknown,,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Unknown, Large), keeping Large sold"
rec0aMqwokcGehKcv,Etchells - 2,Large,Mounted,checked,Green Buoy,KEEP,KEEP_LARGE_SOLD,"Different sizes (Unknown, Large), keeping Large sold"
recSf80E4d9MWSTCB,Etchells - 2,Unknown,,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Unknown, Large), keeping Large sold"
recg2afmQmdwWKoZy,Etchells - 3,Small,Mounted,checked,Green Buoy,KEEP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
recvcqukyM85jksmB,Etchells - 3,Unknown,,checked,Direct,SKIP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
recETgAoGEFy2Rrqt,Etchells - 5,Small,Framed,checked,KENDALLS,KEEP,KEEP_SOLD,Only one marked as sold
recLkWGosIIKZer0I,Etchells - 5,,,,,SKIP,KEEP_SOLD,Only one marked as sold
recXuAtBpQtlKBV72,Etchells - 14,Small,Mounted,,Direct,KEEP,KEEP_FIRST,"Different sizes (Small), keeping first entry"
rec2EkDwj3kt3FffW,Etchells - 14,,,,,SKIP,KEEP_FIRST,"Different sizes (Small), keeping first entry"
recKaMhkl2uVkiEUh,Etchells - 20,Small,Mounted,checked,Green Buoy,KEEP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
recWTdGSOkE3hdXD5,Etchells - 20,Unknown,,checked,Direct,SKIP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
rec20AZkghGTOr0jY,Etchells - 21,Small,Mounted,checked,Direct,KEEP,KEEP_SOLD,Only one marked as sold
recApLKMIJdwxs4AE,Etchells - 21,,,,,SKIP,KEEP_SOLD,Only one marked as sold
recCTouVAGRbDlRvT,Etchells - 22,Small,Mounted,checked,Green Buoy,KEEP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
recHo9F3YgYU64XTj,Etchells - 22,Unknown,,checked,Direct,SKIP,KEEP_FIRST,"Different sizes (Unknown, Small), keeping first entry"
